sample,B.naive,B.mem,Plasma,T.CD8,T.CD4.naive,T.CD4.mem.rest,T.CD4.mem.act,T.folli.hel,T.reg,T.g.d,NK.rest,NK.act,Mono,Macro.M0,Macro.M1,Macro.M2,Dendritic.rest,Dendritic.act,Mast.rest,Mast.act,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
ME_50_Mel,0,0.035411545,0.001871398,0.003924193,0,0.330166821,0.060038932,0.014390112,0,0.041878125,0,0.00343207,0,0.01822642,0.101649202,0.112583581,0.040589803,0,0.135989488,0,0,0,0.021,0.224292694,0.993790843,0.900151689
ME_50_Nevus,0,0.052921832,0,0.035851962,0,0.421698206,0.028663368,0.006844598,0,0.065383825,0,0.006711369,0,0.011667383,0.084639997,0.135539415,0.031656751,0,0.170812043,0,0,0,0.004,0.449764794,0.892636637,1.052390748
ME_51_Mel,0,0.009507594,0.003924344,0.000305758,0,0.300348564,0.019014004,0,0,0.008017882,0,0,0.056865857,0.024615711,0.01811097,0.057154666,0.054251431,2.75E-05,0.187218764,0,0,0,0.106,0.108695,1.041547174,0.739362997
ME_51_Nevus,0,0.005246424,0.009688323,0,0,0.106013374,0,0,0,0.006266457,0,0.004288542,0.027274537,0.008596589,0.000521583,0.05218042,0.031253978,0,0.125602805,0,0,0,0.293,0.049480285,1.066705261,0.376933031
ME_52_Mel,0,0.027626807,0.002605418,0.03572077,0,0.052418784,0.028141353,0.008406192,0,0,0.011641663,0,0.013062332,0.059939544,0.010499181,0.086517615,0,0,0.097753533,0,0,0,0.56,0.014149805,1.068654892,0.434333192
ME_52_MIS,0,0,0.004245319,0.054954469,0,0.147741632,0.100726907,0.007927,0,0,0,0,0.006740441,0.089310552,0.060147296,0.120040412,0.0668296,0.024732258,0.087575471,0,0,0,0.164,0.079930484,1.042694556,0.770971358
ME_52_Nevus,0,0,0.003148518,0.021410957,0,0.117730171,0.025990337,0.01003872,0,0,0,0,0.000218553,0.039512686,0.009663602,0.109880018,0.013410434,0,0.20719374,0,0,0,0.007,0.308290219,0.962417294,0.558197737
ME_53_Mel,0.006015809,0.01428047,0.006086502,0.040912749,0,0.307307231,0.042013751,0.035630604,0,0,0,0.009083811,0.007348805,0.045360702,0.079631195,0.187073584,0.073669529,0,0.062983158,0,0,0.000148654,0.023,0.209252015,0.998716368,0.917546554
ME_53_MIS,0,0.005352269,0.00264229,0.004973556,0,0.238394905,0.033058032,0.00804204,0,0,0.003797625,0,0.010414413,0,0.05538528,0.164288816,0.094161653,0,0.11724023,0,0,0,0.061,0.143899805,1.020158955,0.73775111
ME_53_Nevus,0,0.015409227,0.002024572,0.006276704,0,0.255778399,0.02157175,0,0,0.001300268,0,0,0.007252293,0,0.054186929,0.144665517,0.106557209,0,0.096808022,0,0,0,0.098,0.112528778,1.033243763,0.711830891
ME_54_Mel,0,0.0082438,0,0.008697758,0,0.167072819,0.051049518,0.015807578,0,0.054666936,0,0.003749573,0.041735144,0.01302118,0.049497853,0.172468084,0.027603248,0,0.14533087,0,0,0,0.038,0.170284565,1.008759314,0.75894436
ME_54_Nevus,0,0.016689009,0,0.000654152,0,0.108126409,0.006614714,0.013146631,0,0.031098567,0,0.009921524,0.005480197,0,0.022589517,0.135506373,0.106230748,0,0.13702739,0,0,0,0.074,0.128400436,1.025985751,0.59308523
ME_55_MIS,0,0.00030365,0,0.003820134,0,0.117279955,0.000574384,0.017089788,0,0,0,0.009758586,0,0,0.002813434,0.064565705,0.118484199,0,0.151637645,0,0,0.002329278,0.146,0.088191461,1.053079892,0.488656759
ME_55_Nevus1,0,0.001314885,0.003584419,0.002173296,0,0.163134431,0,0,0,0.004155544,0,0.003843769,0.012263801,0,0,0.06496531,0.062405471,0,0.154518276,0,0,0,0.035,0.175877918,1.019065483,0.4723592
ME_55_Nevus2,0,0.004158119,0.001699414,0.010182472,0,0.235258602,0.007349726,0,0,0,0,0,0.0152906,0,0,0.10452556,0.078178102,0,0.150383611,0,0,0,0.016,0.23961517,0.98825105,0.607026206
ME_56_Mel,0,0.040952086,0,0.017829344,0,0.197369133,0.029900612,0.035332982,0,0.038964497,0,0.026898773,0,0.009280695,0.079544901,0.180782873,0.055694817,0,0.077333486,0,0,0,0.147,0.085865539,1.045133337,0.789884199
ME_56_MIS,0,0,0.001146681,0.005834153,0,0.071576382,0,0.024721514,0,0,0,0.00598742,0.010053951,0.073800159,0.025649867,0.069535987,0.079308917,0,0.056378518,0,0,0.001658482,0.643,0.003956432,1.079837288,0.42565203
ME_56_Nevus,0,0.018386416,0,0.082086945,0,0.135432864,0.024691617,0.015220372,0,0.049310634,0,0.002771625,0.025560017,0,0.061530825,0.131952649,0.077226858,0,0.141800876,0,0,0,0.022,0.215515038,0.992127502,0.765971697
ME_57_Mel,0,0.007030136,0.00454494,0.019748024,0,0.123243734,0.076723387,0.00373618,0,0.005059347,0.013032828,0,0.131003243,0.054520164,0.020074184,0.137669097,0.010425166,0,0.052078234,0,0,0,0.077,0.123610183,1.025626376,0.658888665
ME_57_MIS,0.005076806,0.003294924,0.003689847,0.013815662,0,0.350214814,0.075227682,0,0,0.039637583,0,0.010188243,0.061481326,0.00776323,0.033417565,0.189189056,0.011782754,0.000177792,0.157046203,0,0,0,0.009,0.282610643,0.9670763,0.962003486
ME_57_Nevus1,0,0.005700613,0.002242345,0,0,0.124742839,0.012656619,0,0,0.001835805,0,0.001463897,0.033411517,0.049653883,0.004252828,0.069328021,0.024287583,0,0.108026844,0,0,0,0.224,0.065344908,1.053525818,0.437602793
ME_57_Nevus2,0,0.017963847,0.003325714,0.011425393,0,0.238764944,0.07584802,0,0,0.08503552,0,0.00754784,0.078913083,0.031523394,0.046533712,0.125338073,0.007545379,0,0.196641261,0,0,0,0.033,0.181766949,1.005923924,0.92640618
ME_58_Mel,0.002744895,0.025800049,0,0.005251118,0,0.150055714,0.054852683,0.016921193,0,0.008585811,0.012551316,0,0.040248544,0.040724935,0.009217175,0.131792832,0.015445481,0.019287952,0.091312531,0,0,0.012459469,0.399,0.031453294,1.055105314,0.637251697
ME_58_MIS,0,0.01247593,0,0,0,0.076826282,0.013273312,0,0.001577975,0,0,0.008206617,0.02012408,0.012426782,0.009364832,0.048510434,0.130578837,0,0.081676984,0,0,0.010352025,0.672,0.000375694,1.073882573,0.425394091
ME_58_Nevus,0.053106796,0.076200503,0,0,0.036669068,0.314966538,0.0517537,0,0,0.060418405,0,0.018287221,0.03139207,0.048714722,0.016571156,0.180934843,0.028819707,0.002893125,0.138869058,0,0,0,0.006,0.332760736,0.9447642,1.05959691
ME_59_Mel1,0,0.028099616,0,0,0,0.155741274,0.044728117,0.002538442,0,0.01567513,0,0,0.2429209,0.12769961,0.003132511,0.065766325,0,0.051157141,0.015320491,0.043616573,0,0.120654044,0.005,0.391449326,0.92179878,0.917050175
ME_59_Mel2,0,0.000287757,0,0.003465993,0.033427246,0.124074533,0.060969541,0,0,0.030606894,0.000674631,0,0.063004296,0.020789447,0.072265451,0.120429529,0.028369174,0,0.09193198,0,0,0.007464118,0.279,0.052776927,1.053153537,0.657760591
ME_59_Nevus,0,0.013412372,0.002179351,0.012281164,0,0.206613244,0.041498811,0,0,0.002556511,0.011971456,0,0.074388927,0.036665541,0.00771747,0.103892919,0.010730797,0.02646748,0.095480763,0,0,0.01161614,0.023,0.204900945,0.994528114,0.657472945
ME_60_Mel,0,0.020664806,0.003258349,0.013195529,0,0.16776055,0.005512553,0.007085153,0,0.02763388,0,0.009094857,0.007257365,0.006705192,0.030852112,0.07606328,0.03153893,0,0.050614793,0,0,0.001138127,0.254,0.058225585,1.059780785,0.458375475
ME_60_Nevus,0.005711553,0.014163859,0.004000588,0.051583699,0,0.172813245,0.016403509,0.001961976,0,0.029051575,0,0.008974645,0.019189924,0.008511107,0.054783043,0.07701594,0.022425049,0,0.066171998,0,0,0,0.181,0.075632331,1.055926077,0.552761712
ME_61_Mel,0,0.020401494,0,0.049178297,0,0.300730044,0.16418664,0,0,0.089470596,0,0,0.015502615,0.038973737,0.045938555,0.139859035,0.143970013,0,0.134844092,0,0,0,0.007,0.312699584,0.952646206,1.143055116
ME_61_MIS,0,0.01450965,0.002888138,0,0,0.144076167,0,0.012124152,0,0.015398426,0,0.015319296,0.01377435,0.071373562,0.021433737,0.096589007,0.122664926,0,0.107836067,0,0,0,0.131,0.094972776,1.038143021,0.637987477
ME_61_Nevus,0,0.003905217,0.001940587,0.000773412,0,0.172568402,0,0.004904569,0,0.02347618,0,0.028504822,0.019175928,0.028427032,0.001809374,0.05236908,0.132020851,0,0.120317132,0,0,0,0.076,0.123948923,1.030503018,0.590192587
ME_62_Mel,0,0,0,0.012960093,0,0.116951648,0.019937301,0,0,0.018258172,0,0,0.006970759,0,0.012547911,0.235480395,0.056665949,0,0.09298048,0,0,0,0.026,0.196109882,1.004984779,0.572752708
ME_62_Nevus,0,0,0.001553989,0.010865909,0,0.125812126,0,0,0,0.017120777,0,0.010867742,0.015666811,0,0.019200545,0.097583682,0.0453338,0,0.132537191,0,0,0,0.023,0.207886082,0.998971781,0.476542571
ME_63_Melanocytoma,0,0.004030962,0,0,0,0.026712324,0.003317732,0,0,0.001867546,0,0,0.002370983,0.070517105,0.002000861,0.06933657,0,0,0.030451634,0,0,0,0.074,0.12722902,1.065129255,0.210605718
ME_63_Mel,0.000148,0,0.000123267,0,0,0.028549945,0,0.001015059,0.00063642,0,0.004723783,0,0,0.076645933,0,0.059395145,0,0,0.002551669,0,0,0,0.006,0.361096958,0.960761283,0.17378922
ME_64_Mel1,0,0,0.000996412,0.016540915,0,0.05951756,0,0.00879212,0,0,0,0.003357808,0.006332801,0.03626613,0.000916087,0.040403827,0.008475783,0,0.082644732,0,0.000683066,0,0.665,0.00107341,1.09163239,0.264927241
ME_64_Mel2,0,0.001823174,0,0,0,0.103561002,0,0.011762084,0,0.004662534,0,0,0.010160982,0.028977462,0.000983462,0.052355085,0.016301622,0,0.080340492,0,0.00493354,0.003902364,0.601,0.008836986,1.080842664,0.319763804
